Rental_ID,accm_txn_complete_time
1,2022-01-15 10:30:00
2,2022-01-18 14:45:00
3,2022-01-20 09:00:00
4,2022-01-22 16:00:00
5,2022-01-25 08:30:00
6,2022-01-28 11:00:00
7,2022-02-01 13:30:00
8,2022-02-03 09:45:00
9,2022-02-05 15:00:00
10,2022-02-08 10:30:00
11,2022-02-10 14:00:00
12,2022-02-12 09:30:00
13,2022-02-15 11:45:00
14,2022-02-18 16:30:00
15,2022-02-20 08:00:00
16,2022-02-22 13:00:00
17,2022-02-25 10:15:00
18,2022-02-28 14:30:00
19,2022-03-02 09:00:00
20,2022-03-05 11:30:00
21,2022-03-08 15:45:00
22,2022-03-10 10:00:00
23,2022-03-12 13:30:00
24,2022-03-15 09:15:00
25,2022-03-18 14:00:00
26,2022-03-20 11:30:00
27,2022-03-22 16:00:00
28,2022-03-25 09:45:00
29,2022-03-28 13:00:00
30,2022-03-30 10:30:00
