Rental_ID,Customer_Type,Customer_Gender,Customer_Age,License_Type
1,Local,Male,68,Sri Lankan
2,Tourist,Male,31,Sri Lankan
3,Tourist,Male,44,Sri Lankan
4,Local,Male,53,International
5,Tourist,Female,39,Sri Lankan
6,Local,Female,31,Sri Lankan
7,Local,Female,60,Sri Lankan
8,Corporate,Male,64,Sri Lankan
9,Corporate,Female,21,Sri Lankan
10,Local,Male,57,International
11,Local,Female,68,International
12,Local,Male,47,International
13,Tourist,Female,69,Sri Lankan
14,Corporate,Male,54,Sri Lankan
15,Corporate,Female,55,International
16,Local,Male,50,International
17,Corporate,Female,41,Sri Lankan
18,Tourist,Female,30,International
19,Corporate,Female,47,International
20,Local,Female,21,Sri Lankan
21,Tourist,Female,33,International
22,Local,Male,25,Sri Lankan
23,Corporate,Female,47,International
24,Tourist,Female,28,Sri Lankan
25,Corporate,Male,69,Sri Lankan
26,Local,Male,41,International
27,Tourist,Male,33,International
28,Local,Female,54,International
29,Local,Male,26,Sri Lankan
30,Corporate,Male,34,International
31,Local,Male,52,Sri Lankan
32,Local,Male,46,Sri Lankan
33,Local,Female,39,Sri Lankan
34,Local,Female,23,Sri Lankan
35,Local,Female,28,Sri Lankan
36,Local,Male,28,Sri Lankan
37,Local,Female,24,International
38,Local,Female,35,Sri Lankan
39,Tourist,Female,28,International
40,Corporate,Male,36,Sri Lankan
41,Corporate,Male,38,Sri Lankan
42,Tourist,Male,68,Sri Lankan
43,Local,Male,53,Sri Lankan
44,Tourist,Female,24,Sri Lankan
45,Corporate,Female,22,Sri Lankan
46,Local,Male,41,Sri Lankan
47,Tourist,Male,25,Sri Lankan
48,Corporate,Female,56,Sri Lankan
49,Corporate,Male,55,International
50,Local,Male,26,Sri Lankan
51,Tourist,Female,33,Sri Lankan
52,Tourist,Female,30,International
53,Corporate,Male,29,Sri Lankan
54,Corporate,Male,55,Sri Lankan
55,Corporate,Male,31,Sri Lankan
56,Tourist,Male,61,Sri Lankan
57,Corporate,Female,21,International
58,Local,Female,29,Sri Lankan
59,Corporate,Female,66,Sri Lankan
60,Corporate,Female,45,Sri Lankan
61,Tourist,Female,49,International
62,Local,Male,38,International
63,Local,Male,38,Sri Lankan
64,Tourist,Female,22,International
65,Corporate,Male,53,Sri Lankan
66,Corporate,Female,61,Sri Lankan
67,Local,Male,30,Sri Lankan
68,Corporate,Male,52,International
69,Tourist,Female,46,International
70,Tourist,Male,50,Sri Lankan
71,Corporate,Female,41,International
72,Tourist,Female,34,Sri Lankan
73,Tourist,Male,46,International
74,Corporate,Male,49,International
75,Corporate,Male,31,International
76,Local,Male,31,Sri Lankan
77,Corporate,Male,54,Sri Lankan
78,Local,Male,67,Sri Lankan
79,Tourist,Male,42,Sri Lankan
80,Corporate,Male,33,International
81,Tourist,Male,51,International
82,Corporate,Female,41,International
83,Tourist,Male,33,International
84,Corporate,Male,56,Sri Lankan
85,Tourist,Female,69,Sri Lankan
86,Local,Male,64,Sri Lankan
87,Local,Female,67,Sri Lankan
88,Tourist,Female,23,International
89,Tourist,Male,48,Sri Lankan
90,Corporate,Male,27,International
91,Tourist,Male,21,Sri Lankan
92,Corporate,Male,33,International
93,Corporate,Male,24,Sri Lankan
94,Corporate,Male,26,International
95,Local,Female,39,Sri Lankan
96,Corporate,Male,36,International
97,Corporate,Female,50,International
98,Corporate,Male,34,International
99,Local,Female,22,Sri Lankan
100,Corporate,Female,57,Sri Lankan
101,Corporate,Female,64,International
102,Corporate,Male,21,International
103,Corporate,Female,47,Sri Lankan
104,Corporate,Female,43,Sri Lankan
105,Local,Female,54,International
106,Tourist,Female,25,International
107,Corporate,Male,61,Sri Lankan
108,Local,Male,27,International
109,Local,Female,49,International
110,Local,Female,27,Sri Lankan
111,Local,Male,37,Sri Lankan
112,Tourist,Male,38,Sri Lankan
113,Local,Male,53,International
114,Local,Male,62,Sri Lankan
115,Local,Male,40,Sri Lankan
116,Local,Female,56,International
117,Corporate,Female,65,Sri Lankan
118,Tourist,Male,68,International
119,Local,Female,22,International
120,Corporate,Female,67,International
121,Tourist,Male,30,International
122,Tourist,Male,27,International
